InstituteNo,id,year,institute_type,round_no,quota,pool,institute_short,program_name,program_duration,degree_short,category,opening_rank,closing_rank,is_preparatory
6,18780,2019,NIT,7,OS,Female-Only,NIT-Calicut,Computer Science and Engineering,4 Years,B.Tech,GEN,5799,8265,0
7,18925,2019,NIT,7,HS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN,5421,10970,0
7,18926,2019,NIT,7,HS,Female-Only,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN,19037,19275,0
7,18934,2019,NIT,7,OS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN,5901,7286,0
7,18935,2019,NIT,7,OS,Female-Only,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN,5748,10164,0
8,19030,2019,NIT,7,HS,Gender-Neutral,NIT-Durgapur,Computer Science and Engineering,4 Years,B.Tech,GEN,6837,17031,0
8,19031,2019,NIT,7,HS,Female-Only,NIT-Durgapur,Computer Science and Engineering,4 Years,B.Tech,GEN,14321,22249,0
8,19043,2019,NIT,7,OS,Gender-Neutral,NIT-Durgapur,Computer Science and Engineering,4 Years,B.Tech,GEN,6370,9193,0
8,19044,2019,NIT,7,OS,Female-Only,NIT-Durgapur,Computer Science and Engineering,4 Years,B.Tech,GEN,11176,13688,0
9,19172,2019,NIT,7,GO,Gender-Neutral,NIT-Goa,Computer Science and Engineering,4 Years,B.Tech,GEN,20222,34467,0
9,19173,2019,NIT,7,GO,Female-Only,NIT-Goa,Computer Science and Engineering,4 Years,B.Tech,GEN,55718,55718,0
9,19177,2019,NIT,7,HS,Gender-Neutral,NIT-Goa,Computer Science and Engineering,4 Years,B.Tech,GEN,26282,26282,0
9,19182,2019,NIT,7,OS,Gender-Neutral,NIT-Goa,Computer Science and Engineering,4 Years,B.Tech,GEN,7588,10587,0
9,19183,2019,NIT,7,OS,Female-Only,NIT-Goa,Computer Science and Engineering,4 Years,B.Tech,GEN,15406,15879,0
