InstituteNo,id,year,institute_type,round_no,quota,pool,institute_short,program_name,program_duration,degree_short,category,opening_rank,closing_rank,is_preparatory
14,24276,2020,NIT,6,OS,Gender-Neutral,NIT-Karnataka-Surathkal,Information Technology,4 Years,B.Tech,GEN,1814,2838,0
14,24277,2020,NIT,6,OS,Female-Only,NIT-Karnataka-Surathkal,Information Technology,4 Years,B.Tech,GEN,4489,4613,0
17,24366,2020,NIT,6,HS,Gender-Neutral,NIT-Meghalaya,Computer Science and Engineering,4 Years,B.Tech,GEN,123163,123163,0
17,24367,2020,NIT,6,HS,Female-Only,NIT-Meghalaya,Computer Science and Engineering,4 Years,B.Tech,GEN,78196,78196,0
17,24371,2020,NIT,6,OS,Gender-Neutral,NIT-Meghalaya,Computer Science and Engineering,4 Years,B.Tech,GEN,13595,17848,0
17,24372,2020,NIT,6,OS,Female-Only,NIT-Meghalaya,Computer Science and Engineering,4 Years,B.Tech,GEN,29566,29566,0
19,24426,2020,NIT,6,OS,Gender-Neutral,NIT-Nagaland,Computer Science and Engineering,4 Years,B.Tech,GEN,22172,28779,0
19,24427,2020,NIT,6,OS,Female-Only,NIT-Nagaland,Computer Science and Engineering,4 Years,B.Tech,GEN,39228,39228,0
21,24517,2020,NIT,6,HS,Gender-Neutral,NIT-Patna,Computer Science and Engineering,4 Years,B.Tech,GEN,5849,15617,0
21,24518,2020,NIT,6,HS,Female-Only,NIT-Patna,Computer Science and Engineering,4 Years,B.Tech,GEN,21132,30314,0
21,24531,2020,NIT,6,OS,Gender-Neutral,NIT-Patna,Computer Science and Engineering,4 Years,B.Tech,GEN,8888,14010,0
21,24532,2020,NIT,6,OS,Female-Only,NIT-Patna,Computer Science and Engineering,4 Years,B.Tech,GEN,16817,22922,0
22,24634,2020,NIT,6,HS,Gender-Neutral,NIT-Puducherry,Computer Science and Engineering,4 Years,B.Tech,GEN,44161,94424,0
22,24635,2020,NIT,6,HS,Female-Only,NIT-Puducherry,Computer Science and Engineering,4 Years,B.Tech,GEN,78154,115146,0
22,24642,2020,NIT,6,OS,Gender-Neutral,NIT-Puducherry,Computer Science and Engineering,4 Years,B.Tech,GEN,10836,15467,0
22,24643,2020,NIT,6,OS,Female-Only,NIT-Puducherry,Computer Science and Engineering,4 Years,B.Tech,GEN,14542,16811,0
23,24798,2020,NIT,6,HS,Gender-Neutral,NIT-Raipur,Computer Science and Engineering,4 Years,B.Tech,GEN,11399,18745,0
23,24799,2020,NIT,6,HS,Female-Only,NIT-Raipur,Computer Science and Engineering,4 Years,B.Tech,GEN,21890,30412,0
23,24810,2020,NIT,6,OS,Gender-Neutral,NIT-Raipur,Computer Science and Engineering,4 Years,B.Tech,GEN,7965,10405,0
23,24811,2020,NIT,6,OS,Female-Only,NIT-Raipur,Computer Science and Engineering,4 Years,B.Tech,GEN,11166,15431,0
23,24868,2020,NIT,6,HS,Gender-Neutral,NIT-Raipur,Information Technology,4 Years,B.Tech,GEN,19263,31490,0
23,24869,2020,NIT,6,HS,Female-Only,NIT-Raipur,Information Technology,4 Years,B.Tech,GEN,30998,38131,0
23,24879,2020,NIT,6,OS,Gender-Neutral,NIT-Raipur,Information Technology,4 Years,B.Tech,GEN,9924,13154,0
23,24880,2020,NIT,6,OS,Female-Only,NIT-Raipur,Information Technology,4 Years,B.Tech,GEN,16405,19713,0
25,24962,2020,NIT,6,HS,Gender-Neutral,NIT-Sikkim,Computer Science and Engineering,4 Years,B.Tech,GEN,45891,329823,0
25,24963,2020,NIT,6,HS,Female-Only,NIT-Sikkim,Computer Science and Engineering,4 Years,B.Tech,GEN,323086,423326,0
25,24969,2020,NIT,6,OS,Gender-Neutral,NIT-Sikkim,Computer Science and Engineering,4 Years,B.Tech,GEN,18868,26007,0
25,24970,2020,NIT,6,OS,Female-Only,NIT-Sikkim,Computer Science and Engineering,4 Years,B.Tech,GEN,30490,33219,0
4,25012,2020,NIT,6,HS,Gender-Neutral,NIT-Arunachal-Pradesh,Computer Science and Engineering,4 Years,B.Tech,GEN,56549,59180,0
4,25017,2020,NIT,6,OS,Gender-Neutral,NIT-Arunachal-Pradesh,Computer Science and Engineering,4 Years,B.Tech,GEN,17210,27307,0
4,25018,2020,NIT,6,OS,Female-Only,NIT-Arunachal-Pradesh,Computer Science and Engineering,4 Years,B.Tech,GEN,30845,35057,0
13,25080,2020,NIT,6,HS,Gender-Neutral,NIT-Jamshedpur,Computer Science and Engineering,4 Years,B.Tech,GEN,7567,12995,0
13,25081,2020,NIT,6,HS,Female-Only,NIT-Jamshedpur,Computer Science and Engineering,4 Years,B.Tech,GEN,16808,21125,0
13,25093,2020,NIT,6,OS,Gender-Neutral,NIT-Jamshedpur,Computer Science and Engineering,4 Years,B.Tech,GEN,7843,8968,0
13,25094,2020,NIT,6,OS,Female-Only,NIT-Jamshedpur,Computer Science and Engineering,4 Years,B.Tech,GEN,13293,16531,0
15,25318,2020,NIT,6,HS,Gender-Neutral,NIT-Kurukshetra,Information Technology,4 Years,B.Tech,GEN,5423,8754,0
15,25319,2020,NIT,6,HS,Female-Only,NIT-Kurukshetra,Information Technology,4 Years,B.Tech,GEN,13676,14839,0
15,25329,2020,NIT,6,OS,Gender-Neutral,NIT-Kurukshetra,Information Technology,4 Years,B.Tech,GEN,5589,6679,0
15,25330,2020,NIT,6,OS,Female-Only,NIT-Kurukshetra,Information Technology,4 Years,B.Tech,GEN,11225,12465,0
16,25393,2020,NIT,6,HS,Gender-Neutral,NIT-Manipur,Computer Science and Engineering,4 Years,B.Tech,GEN,53268,238099,0
16,25394,2020,NIT,6,HS,Female-Only,NIT-Manipur,Computer Science and Engineering,4 Years,B.Tech,GEN,149081,167200,0
16,25400,2020,NIT,6,OS,Gender-Neutral,NIT-Manipur,Computer Science and Engineering,4 Years,B.Tech,GEN,22196,28003,0
16,25401,2020,NIT,6,OS,Female-Only,NIT-Manipur,Computer Science and Engineering,4 Years,B.Tech,GEN,34878,35609,0
18,25454,2020,NIT,6,HS,Gender-Neutral,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,107401,492513,0
18,25455,2020,NIT,6,HS,Female-Only,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,223075,223075,0
18,25460,2020,NIT,6,OS,Gender-Neutral,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,26329,29040,0
18,25461,2020,NIT,6,OS,Female-Only,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,34611,34611,0
24,25624,2020,NIT,6,HS,Gender-Neutral,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,1230,9816,0
24,25625,2020,NIT,6,HS,Female-Only,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,5660,9144,0
24,25636,2020,NIT,6,OS,Gender-Neutral,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,871,3296,0
24,25637,2020,NIT,6,OS,Female-Only,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,4032,5844,0
26,25877,2020,NIT,6,HS,Gender-Neutral,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,11251,32609,0
26,25878,2020,NIT,6,HS,Female-Only,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,18697,47177,0
26,25889,2020,NIT,6,OS,Gender-Neutral,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,5496,11127,0
26,25890,2020,NIT,6,OS,Female-Only,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,12438,18229,0
27,26039,2020,NIT,6,JK,Gender-Neutral,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,11268,33374,0
27,26040,2020,NIT,6,JK,Female-Only,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,30401,49690,0
27,26049,2020,NIT,6,LA,Gender-Neutral,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,110181,211316,0
27,26050,2020,NIT,6,OS,Gender-Neutral,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,16569,23555,0
27,26051,2020,NIT,6,OS,Female-Only,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,25226,34779,0
27,26109,2020,NIT,6,JK,Gender-Neutral,NIT-Srinagar,Information Technology,4 Years,B.Tech,GEN,39901,58271,0
27,26110,2020,NIT,6,JK,Female-Only,NIT-Srinagar,Information Technology,4 Years,B.Tech,GEN,52089,147055,0
27,26118,2020,NIT,6,LA,Gender-Neutral,NIT-Srinagar,Information Technology,4 Years,B.Tech,GEN,264824,411720,0
27,26119,2020,NIT,6,OS,Gender-Neutral,NIT-Srinagar,Information Technology,4 Years,B.Tech,GEN,24407,29485,0
27,26120,2020,NIT,6,OS,Female-Only,NIT-Srinagar,Information Technology,4 Years,B.Tech,GEN,35392,40762,0
12,27247,2021,NIT,1,HS,Gender-Neutral,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,2654,10024,0
12,27248,2021,NIT,1,HS,Female-Only,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,4409,10787,0
12,27258,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,4992,7285,0
12,27259,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,10432,12483,0
12,27247,2021,NIT,1,HS,Gender-Neutral,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,2654,10024,0
12,27248,2021,NIT,1,HS,Female-Only,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,4409,10787,0
12,27258,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,4992,7285,0
12,27259,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,10432,12483,0
12,27247,2021,NIT,1,HS,Gender-Neutral,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,2654,10024,0
12,27248,2021,NIT,1,HS,Female-Only,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,4409,10787,0
12,27258,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,4992,7285,0
12,27259,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,10432,12483,0
12,27247,2021,NIT,1,HS,Gender-Neutral,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,2654,10024,0
12,27248,2021,NIT,1,HS,Female-Only,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,4409,10787,0
12,27258,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,4992,7285,0
12,27259,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,10432,12483,0
12,27247,2021,NIT,1,HS,Gender-Neutral,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,2654,10024,0
12,27248,2021,NIT,1,HS,Female-Only,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,4409,10787,0
12,27258,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,4992,7285,0
12,27259,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,10432,12483,0
12,27247,2021,NIT,1,HS,Gender-Neutral,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,2654,10024,0
12,27248,2021,NIT,1,HS,Female-Only,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,4409,10787,0
12,27258,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,4992,7285,0
12,27259,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,GEN,10432,12483,0
12,27329,2021,NIT,1,HS,Gender-Neutral,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,10176,14610,0
12,27330,2021,NIT,1,HS,Female-Only,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,12368,17744,0
12,27339,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,7504,9553,0
12,27329,2021,NIT,1,HS,Gender-Neutral,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,10176,14610,0
12,27330,2021,NIT,1,HS,Female-Only,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,12368,17744,0
12,27339,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,7504,9553,0
12,27329,2021,NIT,1,HS,Gender-Neutral,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,10176,14610,0
12,27330,2021,NIT,1,HS,Female-Only,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,12368,17744,0
12,27339,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,7504,9553,0
12,27329,2021,NIT,1,HS,Gender-Neutral,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,10176,14610,0
12,27330,2021,NIT,1,HS,Female-Only,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,12368,17744,0
12,27339,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,7504,9553,0
12,27329,2021,NIT,1,HS,Gender-Neutral,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,10176,14610,0
12,27330,2021,NIT,1,HS,Female-Only,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,12368,17744,0
12,27339,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,7504,9553,0
12,27329,2021,NIT,1,HS,Gender-Neutral,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,10176,14610,0
12,27330,2021,NIT,1,HS,Female-Only,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,12368,17744,0
12,27339,2021,NIT,1,OS,Gender-Neutral,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,7504,9553,0
12,27340,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,13363,14793,0
12,27340,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,13363,14793,0
12,27340,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,13363,14793,0
12,27340,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,13363,14793,0
12,27340,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,13363,14793,0
12,27340,2021,NIT,1,OS,Female-Only,NIT-Jalandhar,Information Technology,4 Years,B.Tech,GEN,13363,14793,0
11,27471,2021,NIT,1,HS,Gender-Neutral,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,340,3567,0
11,27472,2021,NIT,1,HS,Female-Only,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,3412,6843,0
11,27484,2021,NIT,1,OS,Gender-Neutral,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,24,2594,0
11,27485,2021,NIT,1,OS,Female-Only,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,1863,5106,0
11,27471,2021,NIT,1,HS,Gender-Neutral,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,340,3567,0
11,27472,2021,NIT,1,HS,Female-Only,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,3412,6843,0
11,27484,2021,NIT,1,OS,Gender-Neutral,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,24,2594,0
11,27485,2021,NIT,1,OS,Female-Only,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,1863,5106,0
11,27471,2021,NIT,1,HS,Gender-Neutral,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,340,3567,0
11,27472,2021,NIT,1,HS,Female-Only,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,3412,6843,0
11,27484,2021,NIT,1,OS,Gender-Neutral,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,24,2594,0
11,27485,2021,NIT,1,OS,Female-Only,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,1863,5106,0
11,27471,2021,NIT,1,HS,Gender-Neutral,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,340,3567,0
11,27472,2021,NIT,1,HS,Female-Only,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,3412,6843,0
11,27484,2021,NIT,1,OS,Gender-Neutral,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,24,2594,0
11,27485,2021,NIT,1,OS,Female-Only,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,1863,5106,0
11,27471,2021,NIT,1,HS,Gender-Neutral,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,340,3567,0
11,27472,2021,NIT,1,HS,Female-Only,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,3412,6843,0
11,27484,2021,NIT,1,OS,Gender-Neutral,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,24,2594,0
11,27485,2021,NIT,1,OS,Female-Only,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,1863,5106,0
11,27471,2021,NIT,1,HS,Gender-Neutral,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,340,3567,0
11,27472,2021,NIT,1,HS,Female-Only,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,3412,6843,0
11,27484,2021,NIT,1,OS,Gender-Neutral,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,24,2594,0
11,27485,2021,NIT,1,OS,Female-Only,NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,GEN,1863,5106,0
5,27658,2021,NIT,1,HS,Gender-Neutral,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,4094,8567,0
5,27659,2021,NIT,1,HS,Female-Only,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,11046,16177,0
5,27672,2021,NIT,1,OS,Gender-Neutral,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,3304,5981,0
5,27673,2021,NIT,1,OS,Female-Only,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,6970,10043,0
5,27658,2021,NIT,1,HS,Gender-Neutral,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,4094,8567,0
5,27659,2021,NIT,1,HS,Female-Only,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,11046,16177,0
5,27672,2021,NIT,1,OS,Gender-Neutral,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,3304,5981,0
5,27673,2021,NIT,1,OS,Female-Only,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,6970,10043,0
5,27658,2021,NIT,1,HS,Gender-Neutral,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,4094,8567,0
5,27659,2021,NIT,1,HS,Female-Only,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,11046,16177,0
5,27672,2021,NIT,1,OS,Gender-Neutral,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,3304,5981,0
5,27673,2021,NIT,1,OS,Female-Only,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,6970,10043,0
5,27658,2021,NIT,1,HS,Gender-Neutral,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,4094,8567,0
5,27659,2021,NIT,1,HS,Female-Only,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,11046,16177,0
5,27672,2021,NIT,1,OS,Gender-Neutral,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,3304,5981,0
5,27673,2021,NIT,1,OS,Female-Only,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,6970,10043,0
5,27658,2021,NIT,1,HS,Gender-Neutral,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,4094,8567,0
5,27659,2021,NIT,1,HS,Female-Only,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,11046,16177,0
5,27672,2021,NIT,1,OS,Gender-Neutral,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,3304,5981,0
5,27673,2021,NIT,1,OS,Female-Only,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,6970,10043,0
5,27658,2021,NIT,1,HS,Gender-Neutral,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,4094,8567,0
5,27659,2021,NIT,1,HS,Female-Only,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,11046,16177,0
5,27672,2021,NIT,1,OS,Gender-Neutral,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,3304,5981,0
5,27673,2021,NIT,1,OS,Female-Only,NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,GEN,6970,10043,0
2,27881,2021,NIT,1,HS,Gender-Neutral,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,1077,4289,0
2,27882,2021,NIT,1,HS,Female-Only,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,868,8716,0
2,27881,2021,NIT,1,HS,Gender-Neutral,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,1077,4289,0
2,27882,2021,NIT,1,HS,Female-Only,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,868,8716,0
2,27881,2021,NIT,1,HS,Gender-Neutral,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,1077,4289,0
2,27882,2021,NIT,1,HS,Female-Only,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,868,8716,0
2,27881,2021,NIT,1,HS,Gender-Neutral,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,1077,4289,0
2,27882,2021,NIT,1,HS,Female-Only,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,868,8716,0
2,27881,2021,NIT,1,HS,Gender-Neutral,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,1077,4289,0
2,27882,2021,NIT,1,HS,Female-Only,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,868,8716,0
2,27881,2021,NIT,1,HS,Gender-Neutral,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,1077,4289,0
2,27882,2021,NIT,1,HS,Female-Only,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,868,8716,0
2,27896,2021,NIT,1,OS,Gender-Neutral,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,408,2362,0
2,27897,2021,NIT,1,OS,Female-Only,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,1509,3863,0
2,27896,2021,NIT,1,OS,Gender-Neutral,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,408,2362,0
2,27897,2021,NIT,1,OS,Female-Only,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,1509,3863,0
2,27896,2021,NIT,1,OS,Gender-Neutral,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,408,2362,0
2,27897,2021,NIT,1,OS,Female-Only,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,1509,3863,0
2,27896,2021,NIT,1,OS,Gender-Neutral,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,408,2362,0
2,27897,2021,NIT,1,OS,Female-Only,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,1509,3863,0
2,27896,2021,NIT,1,OS,Gender-Neutral,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,408,2362,0
2,27897,2021,NIT,1,OS,Female-Only,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,1509,3863,0
2,27896,2021,NIT,1,OS,Gender-Neutral,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,408,2362,0
2,27897,2021,NIT,1,OS,Female-Only,NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,GEN,1509,3863,0
1,28081,2021,NIT,1,HS,Gender-Neutral,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,15366,52664,0
1,28082,2021,NIT,1,HS,Female-Only,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,29525,44313,0
1,28081,2021,NIT,1,HS,Gender-Neutral,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,15366,52664,0
1,28082,2021,NIT,1,HS,Female-Only,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,29525,44313,0
1,28081,2021,NIT,1,HS,Gender-Neutral,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,15366,52664,0
1,28082,2021,NIT,1,HS,Female-Only,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,29525,44313,0
1,28081,2021,NIT,1,HS,Gender-Neutral,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,15366,52664,0
1,28082,2021,NIT,1,HS,Female-Only,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,29525,44313,0
1,28081,2021,NIT,1,HS,Gender-Neutral,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,15366,52664,0
1,28082,2021,NIT,1,HS,Female-Only,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,29525,44313,0
1,28081,2021,NIT,1,HS,Gender-Neutral,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,15366,52664,0
1,28082,2021,NIT,1,HS,Female-Only,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,29525,44313,0
1,28090,2021,NIT,1,OS,Gender-Neutral,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,8727,16289,0
1,28091,2021,NIT,1,OS,Female-Only,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,24350,27991,0
1,28090,2021,NIT,1,OS,Gender-Neutral,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,8727,16289,0
1,28091,2021,NIT,1,OS,Female-Only,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,24350,27991,0
1,28090,2021,NIT,1,OS,Gender-Neutral,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,8727,16289,0
1,28091,2021,NIT,1,OS,Female-Only,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,24350,27991,0
1,28090,2021,NIT,1,OS,Gender-Neutral,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,8727,16289,0
1,28091,2021,NIT,1,OS,Female-Only,NIT-Agartala,Computer Science and Engineering,4 Years,B.Tech,GEN,24350,27991,0
